Rank,Country,Population_2023,YearlyChange,NetChange,Density_per_km2,Land_Area_km2,Migrants_net,Fert_Rate,Median_Age,UrbanPop_pct,WorldShare_pct,Region,Population_per_km2_calc
229,Saint Helena,5314,-1.12,-60,14,390,0,1.6,53.0,32.0,0.0,Africa,13.625641025641025
209,Saint Kitts & Nevis,47755,0.21,98,184,260,20,1.5,35.0,38.0,0.0,North America,183.67307692307693
191,Saint Lucia,180251,0.22,394,295,610,0,1.4,34.0,19.0,0.0,North America,295.4934426229508
218,Saint Martin,32077,0.9,286,605,53,0,2.4,39.0,0.0,0.0,North America,605.2264150943396
228,Saint Pierre & Miquelon,5840,-0.38,-22,25,230,0,1.6,44.0,,0.0,North America,25.391304347826086
189,Samoa,225681,1.48,3299,80,2830,-1500,3.8,21.0,16.0,0.0,Oceania,79.74593639575971
216,San Marino,33642,-0.05,-18,561,60,100,1.1,47.0,99.0,0.0,Europe,560.7
188,Sao Tome & Principe,231856,1.97,4476,242,960,-600,3.7,19.0,77.0,0.0,,241.51666666666668
40,Saudi Arabia,36947025,1.48,538205,17,2149690,28998,2.4,31.0,83.0,0.46,Asia,17.187140936600162
71,Senegal,17763163,2.58,446714,92,192530,-19999,4.3,18.0,52.0,0.22,Africa,92.26179296732977
105,Serbia,7149077,-1.0,-72288,82,87460,-9999,1.5,43.0,69.0,0.09,Europe,81.74110450491654
196,Seychelles,107660,0.51,542,234,460,-200,2.3,33.0,53.0,0.0,Africa,234.04347826086956
102,Sierra Leone,8791092,2.15,185374,122,72180,-4000,3.8,19.0,43.0,0.11,Africa,121.79401496259352
114,Singapore,6014723,0.65,39034,8592,700,26998,1.0,43.0,,0.07,Asia,8592.461428571429
211,Sint Maarten,44222,0.11,47,1301,34,0,1.6,48.0,97.0,0.0,North America,1300.6470588235295
116,Slovakia,5795199,2.69,151746,121,48088,-112067,1.6,40.0,51.0,0.07,Europe,120.51237314922642
149,Slovenia,2119675,-0.01,-169,105,20140,2000,1.6,44.0,55.0,0.03,Europe,105.24702085402184
166,Solomon Islands,740424,2.23,16151,26,27990,-1600,3.9,19.0,24.0,0.01,Oceania,26.45316184351554
69,Somalia,18143378,3.1,545867,29,627340,-30000,6.1,15.0,46.0,0.23,Africa,28.92112411132719
24,South Africa,60414495,0.87,520610,50,1213090,58496,2.3,28.0,69.0,0.75,Africa,49.802154003412774
29,South Korea,51784059,-0.06,-31751,533,97230,29998,0.9,44.0,82.0,0.64,Asia,532.5934279543351
86,South Sudan,11088796,1.61,175632,18,610952,-23291,4.3,17.0,28.0,0.14,Africa,18.150028152784508
32,Spain,47519628,-0.08,-39002,95,498800,39998,1.3,45.0,80.0,0.59,Europe,95.26789895749799
61,Sri Lanka,21893579,0.28,61436,349,62710,-77495,2.0,33.0,19.0,0.27,Asia,349.1242066656036
198,St. Vincent & Grenadines,103698,-0.24,-250,266,390,-200,1.8,33.0,58.0,0.0,,265.89230769230767
121,State of Palestine,5371230,2.31,121158,892,6020,-5000,3.4,20.0,83.0,0.07,Asia,892.2308970099667
31,Sudan,48109006,2.63,1234802,27,1765048,-9999,4.3,19.0,35.0,0.6,Africa,27.25648594259193
170,Suriname,623236,0.84,5196,4,156000,-1000,2.3,28.0,63.0,0.01,South America,3.995102564102564
87,Sweden,10612086,0.59,62739,26,410340,39998,1.7,40.0,86.0,0.13,Europe,25.861690305600234
101,Switzerland,8796669,0.64,56197,223,39516,39998,1.5,42.0,75.0,0.11,Europe,222.6103097479502
60,Syria,23227014,4.98,1101765,126,183630,757103,2.7,22.0,53.0,0.29,Asia,126.48812285574253
57,Taiwan,23923276,0.13,29882,676,35410,23999,1.2,42.0,80.0,0.3,Asia,675.6079073707992
95,Tajikistan,10143543,1.92,190756,72,139960,-19999,3.1,22.0,28.0,0.13,Asia,72.47458559588453
22,Tanzania,67438106,2.96,1940358,76,885800,-39997,4.6,17.0,38.0,0.84,Africa,76.13242944231203
20,Thailand,71801279,0.15,104249,141,510890,18999,1.3,40.0,52.0,0.89,Asia,140.5415627630214
155,Timor-Leste,1360596,1.44,19300,91,14870,-5000,3.0,21.0,35.0,0.02,Asia,91.49939475453934
99,Togo,9053799,2.32,205100,166,54390,-2000,4.1,19.0,44.0,0.11,Africa,166.46072807501378
233,Tokelau,1893,1.18,22,189,10,0,2.6,27.0,0.0,0.0,Oceania,189.3
195,Tonga,107773,0.86,915,150,720,-800,3.2,22.0,24.0,0.0,Oceania,149.68472222222223
153,Trinidad and Tobago,1534937,0.25,3893,299,5130,-800,1.6,36.0,48.0,0.02,North America,299.20799220272903
79,Tunisia,12458223,0.83,102106,80,155360,-4000,2.0,32.0,69.0,0.15,Africa,80.18938594232749
18,Turkey,85816199,0.56,474958,112,769630,-318067,1.9,32.0,77.0,1.07,Europe/Asia,111.50318854514506
111,Turkmenistan,6516100,1.33,85330,14,469930,-4000,2.6,26.0,52.0,0.08,Asia,13.866107718170792
210,Turks and Caicos,46062,0.79,359,48,950,200,1.6,38.0,79.0,0.0,North America,48.486315789473686
226,Tuvalu,11396,0.74,84,380,30,-60,3.1,25.0,69.0,0.0,Oceania,379.8666666666667
